aggregation,source,source_role,generation_seed,baseline,api_group,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,failure_rate_total_lower_bound
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,syntax_error,480,480,173,307,0,0.36041666666666666,0.36041666666666666
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,wrong_or_missing_target_api,480,307,6,301,173,0.019543973941368076,0.0125
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,missing_import,480,307,0,307,173,0.0,0.0
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,shape_or_dtype_error,480,307,7,300,173,0.02280130293159609,0.014583333333333334
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,index_or_bounds_error,480,307,2,305,173,0.006514657980456026,0.004166666666666667
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,undefined_name_error,480,307,2,305,173,0.006514657980456026,0.004166666666666667
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,argument_signature_error,480,307,3,304,173,0.009771986970684038,0.00625
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,dependency_import_error,480,307,0,307,173,0.0,0.0
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,setup_or_environment_error,480,307,0,307,173,0.0,0.0
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,resource_exhaustion,480,307,0,307,173,0.0,0.0
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,runtime_error_other,480,307,3,304,173,0.009771986970684038,0.00625
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,assertion_failure,480,307,2,305,173,0.006514657980456026,0.004166666666666667
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,timeout,480,480,0,480,0,0.0,0.0
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,missing_oracle,480,307,240,67,173,0.7817589576547231,0.5
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,oracle_not_executed,480,307,52,255,173,0.16938110749185667,0.10833333333333334
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,fake_assertion,480,307,2,305,173,0.006514657980456026,0.004166666666666667
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,broad_exception_swallowing,480,307,3,304,173,0.009771986970684038,0.00625
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,target_not_executed,480,307,56,251,173,0.18241042345276873,0.11666666666666667
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,truncated_generation,480,480,230,250,0,0.4791666666666667,0.4791666666666667
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,nondeterministic_failure,480,0,0,0,480,,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,syntax_error,120,120,0,120,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,wrong_or_missing_target_api,120,120,0,120,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,missing_import,120,120,0,120,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,shape_or_dtype_error,120,120,0,120,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,index_or_bounds_error,120,120,0,120,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,undefined_name_error,120,120,0,120,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,argument_signature_error,120,120,0,120,0,0.0,0.0
